115
298.117 1054.57 0.125002,2 1,stand,,,
520.25 1020.48 32.125,0 10,stand,,,
135.318 1060.22 0.125,0 83 84 87,stand,,,
906.168 1214.9 18.1718,4 6 10 5,stand,,,
640.262 1215.18 17.6535,3 10,stand,,,
686.028 652.152 17.5034,6 7 10 3,stand,,,
862.61 652.663 17.2368,5 3 10,stand,,,
665.947 440.347 18.495,9 8 5 11 12,stand,,,
973.522 517.004 16.1598,7 12,stand,,,
490.202 447.477 18.6384,7 67,stand,,,
691.08 1020.38 18.3447,1 4 5 3 6,stand,,,
630.016 86.7154 13.7035,12 7 14,stand,,,
922.479 83.0631 12.1354,11 7 8 13,stand,,,
911.699 -241.139 6.12622,12 15 14,stand,,,
603.867 -229.295 9.94084,11 13 15,stand,,,
720.764 -588.608 20.248,16 13 14,stand,,,
723.025 -892.451 45.0922,15 17 18,stand,,,
718.069 -1221.43 68.1096,16 21 22 25,stand,,,
974.104 -866.294 45.5001,16 19 20,stand,,,
947.11 -687.167 29.8636,18,stand,,,
939.713 -1050.02 59.9777,18,stand,,,
966.281 -1230.77 76.0997,17,stand,,,
854.338 -1627.82 84.6736,17 24 25,stand,,,
108.664 -1579.49 87.6246,24 25 26,stand,,,
515.33 -1621.19 83.8305,23 22 25,stand,,,
532.222 -1375.71 78.0217,24 17 22 23,stand,,,
-227.105 -1498.89 87.1948,23 27 28,stand,,,
-620.235 -1562.87 76.4441,26 28 30,stand,,,
-605.572 -1390.79 78.5429,26 27 29 31,stand,,,
-605.86 -1272.59 128.125,28 111,stand,,,
-1130.45 -1534.37 24.8291,31 32 27 33,stand,,,
-1124.1 -1347.96 25.1618,30 28 33,stand,,,
-1134.31 -1646.23 22.3004,30,stand,,,
-1441.11 -1415.34 15.932,31 30 34 35,stand,,,
-1849.18 -1286.58 3.93842,33 36 38 41,stand,,,
-1466.04 -846.446 9.45637,33 36 56 57 58,stand,,,
-1870.11 -922.421 2.50853,34 35 37 56,stand,,,
-2070.09 -822.626 0.92864,36 38 39,stand,,,
-2184.72 -973.714 1.21162,34 37 39,stand,,,
-2271.83 -814.111 0.0255087,37 38 40 41,stand,,,
-2262.9 -661.318 0.675391,39 42 46,stand,,,
-2421.01 -1067.03 3.81261,39 34,stand,,,
-1923.35 -670.773 1.93879,40 43 46,stand,,,
-1911.02 -234.72 2.51511,42 44 45 109,stand,,,
-2019.47 -173.975 1.6912,43 45 51,stand,,,
-2117.46 -292.457 0.975286,44 46 43,stand,,,
-2354.75 -315.955 -0.0323999,45 40 42 47,stand,,,
-2457.56 -315.481 2.125,46 48 50,stand,,,
-2462.17 -649.871 2.125,47 49,stand,,,
-2597.6 -649.987 2.125,48 50,stand,,,
-2597.62 -218.817 2.125,49 47,stand,,,
-1961.65 16.1395 6.125,44 52,stand,,,
-2019.75 387.016 6.625,51 53,stand,,,
-1986.19 650.311 1.35438,52 54 55,stand,,,
-1987.38 964.417 2.06323,53,stand,,,
-1858.93 648.907 3.05894,53 100 95 103,stand,,,
-1622.23 -710.093 9.17609,35 36 109 110,stand,,,
-1249.05 -583.1 14.9586,35 59 110,stand,,,
-1198.97 -953.317 7.9329,35,stand,,,
-973.427 -501.879 15.8947,57 62 110,stand,,,
73.1461 -639.361 7.30856,61 64 65,stand,,,
-412.639 -590.635 2.24142,60 62 63 65,stand,,,
-701.137 -554.139 6.38008,59 61,stand,,,
-616.38 -195.981 7.04758,61 64 65,stand,,,
73.9477 -212.376 6.29117,63 60 65,stand,,,
-284.129 -395.263 1.73087,60 64 61 63,stand,,,
63.1632 200.807 0.125,67 82,stand,,,
55.6947 449.779 0.125,66 9 68,stand,,,
-314.865 441.98 110.125,67 69,stand,,,
-671.98 440.16 110.125,68 70,stand,,,
-861.615 429.494 110.125,69 71 73,stand,,,
-1176.58 394.901 110.125,70 72,stand,,,
-1189.38 -31.1569 110.125,71 73 76,stand,,,
-835.914 -61.3096 110.125,72 70 74 77,stand,,,
-791.813 -196.913 110.125,73 75,stand,,,
-1040.62 -240.999 110.125,74 76,stand,,,
-1189.04 -217.214 110.125,75 72,stand,,,
-735.727 -64.7919 110.125,73 78,stand,,,
-630.64 -64.8168 63.125,77 79,stand,,,
-360.734 -63.651 63.125,78 80,stand,,,
-101.343 -64.2081 63.125,79 81,stand,,,
47.3291 -64.7787 63.125,80 82,stand,,,
47.448 21.6869 64.125,81 66,stand,,,
132.59 1198.48 0.125001,2,stand,,,
128.215 854.522 0.125001,2 85,stand,,,
-145.384 841.403 -0.909617,84 86 87 90,stand,,,
-157.96 638.078 2.18203,85 91,stand,,,
-155.471 1049.19 -2.74852,85 2 88 90 89,stand,,,
-221.316 1280.71 -2.56943,87 89,stand,,,
-662.488 1259.94 -2.19605,90 88 87 94,stand,,,
-667.129 1033.65 -2.78238,89 91 87 85 92 94 98,stand,,,
-682.074 669.302 1.97847,86 90 92,stand,,,
-1283.17 860.642 -6.875,91 90 94 93 97 98 102 100,stand,,,
-1348.52 1256.55 -2.47197,94 92 95,stand,,,
-970.975 1232.67 -3.011,92 93 89 90,stand,,,
-1803.51 1248.57 -2.233,93 96 55 101,stand,,,
-2000.98 1171.97 -2.74657,95 101,stand,,,
-1424.84 637.89 3.27394,92 98 100 104 106,stand,,,
-1187.3 638.723 4.68593,97 92 99 90,stand,,,
-1186.4 504.712 10.125,98,stand,,,
-1636.54 651.938 5.72897,55 101 97 92 103 104,stand,,,
-1752.33 1079.98 -1.37565,96 95 102 100,stand,,,
-1484.28 1040.94 -1.89044,101 92,stand,,,
-1860.45 440.36 2.37463,100 55 104 105,stand,,,
-1573.5 446.263 9.87841,103 97 100 105 106 107,stand,,,
-1575.49 77.3951 8.41976,104 107 106 108 109 103 110,stand,,,
-1355.67 457.602 11.5449,104 97 107 105,stand,,,
-1349.7 88.472 15.4611,106 105 104 108 109,stand,,,
-1341.15 -150.845 14.1103,107 105 110 109,stand,,,
-1671.8 -236.889 7.6083,110 43 56 105 108 107,stand,,,
-1462.45 -408.53 8.14515,109 108 57 56 105 59,stand,,,
-597.268 -930.978 128.125,29 112,stand,,,
-781.968 -921.269 129.125,111 113 114,stand,,,
-967.643 -794.799 129.125,112 114,stand,,,
