345
2801.37 -1905.95 24.125,1 12,stand,,,
2809.63 -2099.86 24.125,0 18 2,stand,,,
2803.87 -2482.17 24.125,3 17 1,stand,,,
2813.93 -2606.3 24.125,2 4,stand,,,
2675.08 -2601.74 24.125,3 5 17,stand,,,
2526.52 -2627.33 24.125,4 6 16,stand,,,
2405.95 -2617.2 24.125,5 7,stand,,,
2383.13 -2469.21 24.125,6 8 16,stand,,,
2425.39 -2357.34 24.125,7 9,stand,,,
2386.88 -2247.65 24.125,8 10 19,stand,,,
2387.42 -2086.06 24.125,9 11 15,stand,,,
2426.12 -1949.79 24.125,10 12,stand,,,
2551.78 -1959.35 24.125,11 0 13 18 15,stand,,,
2616.73 -1878.05 24.125,12 14,stand,,,
2610.08 -1822.22 16.125,13 51 52,stand,,,
2520.65 -2096.11 16.125,10 16 18 12,stand,,,
2529.57 -2455.3 16.125,15 17 7 5 18,stand,,,
2697.9 -2452.49 16.125,16 18 2 4,stand,,,
2700.73 -2088 16.125,17 15 1 12 16,stand,,,
2176.86 -2255.24 12.125,9 20 21 155,stand,,,
1980.01 -2254.6 -63.875,19 150 151 154 162,stand,,,
2117.48 -2154.95 8.125,19 22,stand,,,
2185.73 -1950 8.125,21 23 27,stand,,,
2068.82 -1903.24 16.125,22 24 27,stand,,,
2111.19 -1430.11 8.125,23 25 28 29,stand,,,
2372.97 -1439.39 8.125,24 26 28 45,stand,,,
2378.83 -1790.33 8.125,25 27 28,stand,,,
2209.79 -1798.58 8.125,26 22 23 28,stand,,,
2217.62 -1627.71 8.125,27 24 25 26,stand,,,
2112.77 -1377.33 36.125,24 30,stand,,,
2110.74 -1333.65 8.125,29 31 35,stand,,,
2290.05 -1348.69 8.125,30 32,stand,,,
2293.2 -1217.57 -55.875,31 33 39 40 41,stand,,,
2214.37 -1286.34 -55.875,32 34,stand,,,
2081.25 -1228.78 -55.875,33 35 36 40,stand,,,
2071.13 -1303.94 0.125,34 30,stand,,,
2087.2 -1047.13 -55.875,34 37 40,stand,,,
2378.68 -1062.95 -55.875,36 38 39 40,stand,,,
2465.43 -1094.16 -31.875,37 39 42,stand,,,
2385.48 -1144.35 -55.875,37 32 40 41 38,stand,,,
2199.85 -1120.2 -55.875,36 37 39 34 32,stand,,,
2424.89 -1246.85 -55.875,32 39,stand,,,
2542.64 -1071.32 -31.875,38 43 110,stand,,,
2518.27 -1356.39 -31.875,42 44 46,stand,,,
2429.54 -1359.36 -31.875,43 45,stand,,,
2397.7 -1304.02 -23.875,44 25,stand,,,
2511.72 -1517.96 -31.875,43 47 53 55,stand,,,
2763.27 -1473.24 -31.875,46 48 55 56,stand,,,
2778.87 -1705.24 -31.875,47 49 54 55,stand,,,
2627.19 -1773.62 -31.875,48 50 54,stand,,,
2467.28 -1764.72 16.125,49 51,stand,,,
2505.86 -1821.35 16.125,50 14,stand,,,
2805.51 -1827.23 16.125,14,stand,,,
2431.13 -1712.88 -31.875,46 54,stand,,,
2624.68 -1697.09 -31.875,53 49 48 55,stand,,,
2619.18 -1609.42 -31.875,54 46 48 47,stand,,,
